Datetime,Subscribers,Days elapsed
2021/11/15 14:00,1300000,"109 days after 1.2M (1,262 days after debut)"
2021/7/29 00:40,1200000,"91 days after 1.1M (1,153 days after debut)"
2021/4/29 02:10,1100000,"78 days after 1M (1,062 days after debut)"
2021/2/10 16:10,1000000,29 days after 900K (984 days after debut)
2021/1/12 19:00,900000,46 days after 800K (955 days after debut)
2020/11/27 20:40,800000,30 days after 700K (909 days after debut)
2020/10/28 16:40,700000,29 days after 600K (879 days after debut)
2020/9/29 11:00,600000,44 days after 500K (850 days after debut)
2020/8/16,500000,44 days after 400K (806 days after debut)
2020/7/3,400000,58 days after 300K (762 days after debut)
2020/5/6,300000,97 days after 200K (704 days after debut)
2020/1/30,200000,150 days after 100K (607 days after debut)
2019/9/2,100000,457 days after debut
2018/6/2,Debut,-
