Datetime,Subscribers,Days elapsed
2022-05-14 23:40,1200000,161 days after 1.1M (869 days after debut)
2021-12-04 0:30,1100000,130 days after 1M (708 days after debut)
2021-07-27 20:40,1000000,39 days after 900K (578 days after debut)
2021-06-18 22:00,900000,51 days after 800K (539 days after debut)
2021-04-28 14:00,800000,64 days after 700K (488 days after debut)
2021-02-23 0:00,700000,40 days after 600K (424 days after debut)
2021-01-14 22:10,600000,51 days after 500K (384 days after debut)
2020-11-24 12:50,500000,83 days after 400K (333 days after debut)
2020-09-02 22:10,400000,59 days after 300K (250 days after debut)
2020-07-05,300000,69 days after 200K (191 days after debut)
2020-04-27,200000,80 days after 100K (122 days after debut)
2020-02-07,100000,42 days after debut
2019-12-27,Debut,-
