Datetime,Subscribers,Days elapsed
2022-04-01 0:40,3900000,48 days after 3.8M (565 days after debut)
2022-02-12 23:30,3800000,45 days after 3.7M (517 days after debut)
2021-12-29 10:50,3700000,37 days after 3.6M (472 days after debut)
2021-11-22 16:00,3600000,32 days after 3.5M (435 days after debut)
2021-10-21 0:10,3500000,28 days after 3.4M (403 days after debut)
2021-09-23 15:30,3400000,21 days after 3.3M (375 days after debut)
2021-09-02 0:10,3300000,23 days after 3.2M (354 days after debut)
2021-08-10 2:00,3200000,22 days after 3.1M (331 days after debut)
2021-07-19 15:40,3100000,15 days after 3M (309 days after debut)
2021-07-04 17:40,3000000,12 days after 2.9M (294 days after debut)
2021-06-22 22:10,2900000,16 days after 2.8M (282 days after debut)
2021-06-06 4:00,2800000,17 days after 2.7M (266 days after debut)
2021-05-20 14:10,2700000,16 days after 2.6M (249 days after debut)
2021-05-04 9:10,2600000,20 days after 2.5M (233 days after debut)
2021-04-14 20:40,2500000,24 days after 2.4M (213 days after debut)
2021-03-21 16:00,2400000,21 days after 2.3M (189 days after debut)
2021-02-28 9:10,2300000,18 days after 2.2M (168 days after debut)
2021-02-10 10:50,2200000,14 days after 2.1M (150 days after debut)
2021-01-27 8:10,2100000,9 days after 2M (136 days after debut)
2021-01-18 12:10,2000000,8 days after 1.9M (127 days after debut)
2021-01-10 2:00,1900000,10 days after 1.8M (119 days after debut)
2020-12-31 9:10,1800000,12 days after 1.7M (109 days after debut)
2020-12-19 23:40,1700000,10 days after 1.6M (97 days after debut)
2020-12-09 15:50,1600000,9 days after 1.5M (87 days after debut)
2020-11-30 19:50,1500000,10 days after 1.4M (78 days after debut)
2020-11-20 18:00,1400000,8 days after 1.3M (68 days after debut)
2020-11-12 5:20,1300000,9 days after 1.2M (60 days after debut)
2020-11-03 19:40,1200000,7 days after 1.1M (51 days after debut)
2020-10-27 3:20,1100000,5 days after 1M (44 days after debut)
2020-10-22 23:50,1000000,5 days after 900K (39 days after debut)
2020-10-17 14:10,900000,5 days after 800K (34 days after debut)
2020-10-12 22:50,800000,5 days after 700K (29 days after debut)
2020-10-07 11:10,700000,5 days after 600K (24 days after debut)
2020-10-02 1:00,600000,6 days after 500K (19 days after debut)
2020-09-26 10:50,500000,5 days after 400K (13 days after debut)
2020-09-21 19:10,400000,4 days after 300K (8 days after debut)
2020-09-17 13:30,300000,2 days after 200K (4 days after debut)
2020-09-15 1:20,200000,2 days after 100K (2 days after debut)
2020-09-13 6:20,100000,0 days after debut
2020-09-13,Debut,-
