Datetime,Subscribers,Days elapsed,,,,
2022-03-31 5:40,1400000,"83 days after 1.3M (1,470 days after debut)",,,,
2022-01-07 22:40,1300000,"71 days after 1.2M (1,387 days after debut)",,,,
2021-10-28 22:10,1200000,"72 days after 1.1M (1,316 days after debut)",,,,
2021-08-17 23:40,1100000,"52 days after 1M (1,244 days after debut)",,,,
2021-06-26 15:00,1000000,"44 days after 900K (1,192 days after debut)",,,,
2021-05-13 17:00,900000,"57 days after 800K (1,148 days after debut)",,,,
2021-03-17 0:00,800000,"60 days after 700K (1,091 days after debut)",,,,
2021-01-16 23:10,700000,"47 days after 600K (1,031 days after debut)",,,,
2020-11-30 21:40,600000,64 days after 500K (984 days after debut),,,,
2020-09-27 21:20,500000,54 days after 400K (920 days after debut),,,,
2020-08-04,400000,63 days after 300K (866 days after debut),,,,
2020-06-02,300000,58 days after 200K (803 days after debut),,,,
2020-04-05,200000,65 days after 100K (745 days after debut),,,,
2020-01-31,100000,680 days after debut,,,,
2018-03-22,Debut,-,,,,
