Datetime,Subscribers,Days elapsed
2022/4/29 18:30,1900000,104 days after 1.8M (992 days after debut)
2022/1/15 10:20,1800000,60 days after 1.7M (888 days after debut)
2021/11/16 22:40,1700000,74 days after 1.6M (828 days after debut)
2021/9/3 13:30,1600000,34 days after 1.5M (754 days after debut)
2021/7/31 20:10,1500000,32 days after 1.4M (720 days after debut)
2021/6/29 00:50,1400000,44 days after 1.3M (688 days after debut)
2021/5/16 23:20,1300000,52 days after 1.2M (644 days after debut)
2021/3/25 21:20,1200000,38 days after 1.1M (592 days after debut)
2021/2/15 23:50,1100000,28 days after 1M (554 days after debut)
2021/1/18 20:10,1000000,21 days after 900K (526 days after debut)
2020/12/28 08:00,900000,35 days after 800K (505 days after debut)
2020/11/23 19:30,800000,35 days after 700K (470 days after debut)
2020/10/19 20:30,700000,38 days after 600K (435 days after debut)
2020/9/11 20:30,600000,37 days after 500K (397 days after debut)
2020/8/5,500000,48 days after 400K (360 days after debut)
2020/6/18,400000,51 days after 300K (312 days after debut)
2020/4/28,300000,65 days after 200K (261 days after debut)
2020/2/23,200000,83 days after 100K (196 days after debut)
2019/12/2,100000,113 days after debut
2019/8/11,Debut,-
