Datetime,Subscribers,Days elapsed
2022-04-10 4:51,1800000,"179 days after 1.7M (1,093 days after debut)"
2021-10-13 0:10,1700000,90 days after 1.6M (914 days after debut)
2021-07-15 15:10,1600000,66 days after 1.5M (824 days after debut)
2021-05-10 8:20,1500000,52 days after 1.4M (758 days after debut)
2021-03-19 1:20,1400000,50 days after 1.3M (706 days after debut)
2021-01-28 23:40,1300000,31 days after 1.2M (656 days after debut)
2020-12-28 3:50,1200000,34 days after 1.1M (625 days after debut)
2020-11-24 18:50,1100000,23 days after 1M (591 days after debut)
2020-11-01 15:20,1000000,22 days after 900K (568 days after debut)
2020-10-10 3:20,900000,22 days after 800K (546 days after debut)
2020-09-18 17:00,800000,18 days after 700K (524 days after debut)
2020-08-31 23:30,700000,29 days after 600K (506 days after debut)
2020-08-02,600000,30 days after 500K (477 days after debut)
2020-07-03,500000,34 days after 400K (447 days after debut)
2020-05-30,400000,32 days after 300K (413 days after debut)
2020-04-28,300000,63 days after 200K (381 days after debut)
2020-02-25,200000,81 days after 100K (318 days after debut)
2019-12-06,100000,237 days after debut
2019-04-13,Debut,-
