Datetime,Subscribers,Days elapsed
2022-03-24 22:30,1000000,118 days after 900K (475 days after debut)
2021-11-26 6:00,900000,83 days after 800K (357 days after debut)
2021-09-04 8:40,800000,53 days after 700K (274 days after debut)
2021-07-13 13:50,700000,55 days after 600K (221 days after debut)
2021-05-19 11:30,600000,56 days after 500K (166 days after debut)
2021-03-24 13:40,500000,47 days after 400K (110 days after debut)
2021-02-05 12:40,400000,38 days after 300K (63 days after debut)
2020-12-29 21:50,300000,23 days after 200K (25 days after debut)
2020-12-06 9:40,200000,2 days after 100K (2 days after debut)
2020-12-04 22:50,100000,0 days after debut
2020-12-04,Debut,-
