Datetime,Subscribers,Days elapsed
2022-02-16 18:50,900000,110 days after 800K (552 days after debut)
2021-10-29 19:40,800000,100 days after 700K (442 days after debut)
2021-07-21 2:00,700000,72 days after 600K (342 days after debut)
2021-05-10 16:30,600000,69 days after 500K (270 days after debut)
2021-03-02 20:50,500000,43 days after 400K (201 days after debut)
2021-01-18 12:40,400000,64 days after 300K (158 days after debut)
2020-11-15 23:10,300000,65 days after 200K (94 days after debut)
2020-09-11 22:40,200000,28 days after 100K (29 days after debut)
2020-08-14,100000,1 days after debut
2020-08-13,Debut,-
