Datetime,Subscribers,Days elapsed
2022-02-22 8:30,1000000,115 days after 900K (682 days after debut)
2021-10-30 21:20,900000,83 days after 800K (567 days after debut)
2021-08-08 10:10,800000,63 days after 700K (484 days after debut)
2021-06-06 21:30,700000,52 days after 600K (421 days after debut)
2021-04-15 6:00,600000,57 days after 500K (369 days after debut)
2021-02-17 0:20,500000,42 days after 400K (312 days after debut)
2021-01-06 14:10,400000,36 days after 300K (270 days after debut)
2020-12-01 23:10,300000,34 days after 200K (234 days after debut)
2020-10-28 22:20,200000,42 days after 100K (200 days after debut)
2020-09-16 23:50,100000,158 days after debut
2020-04-11,Debut,-
