Datetime,Subscribers,Days elapsed
2022-03-26 14:20,2000000,59 days after 1.9M (560 days after debut)
2022-01-26 5:20,1900000,63 days after 1.8M (501 days after debut)
2021-11-24 9:50,1800000,64 days after 1.7M (438 days after debut)
2021-09-21 12:00,1700000,50 days after 1.6M (374 days after debut)
2021-08-02 11:00,1600000,41 days after 1.5M (324 days after debut)
2021-06-22 21:10,1500000,27 days after 1.4M (283 days after debut)
2021-05-26 13:20,1400000,28 days after 1.3M (256 days after debut)
2021-04-28 8:00,1300000,39 days after 1.2M (228 days after debut)
2021-03-20 10:50,1200000,35 days after 1.1M (189 days after debut)
2021-02-13 20:10,1100000,19 days after 1M (154 days after debut)
2021-01-25 14:40,1000000,18 days after 900K (135 days after debut)
2021-01-07 20:50,900000,23 days after 800K (117 days after debut)
2020-12-15 9:10,800000,19 days after 700K (94 days after debut)
2020-11-26 1:10,700000,17 days after 600K (75 days after debut)
2020-11-09 12:30,600000,18 days after 500K (58 days after debut)
2020-10-22 23:40,500000,15 days after 400K (40 days after debut)
2020-10-07 21:00,400000,14 days after 300K (25 days after debut)
2020-09-23 21:00,300000,8 days after 200K (11 days after debut)
2020-09-15 20:40,200000,2 days after 100K (3 days after debut)
2020-09-13 0:10,100000,1 days after debut
2020-09-12,Debut,-
