Datetime,Subscribers,Days elapsed
2022/4/10 22:00,1000000,"159 days after 900K (1,332 days after debut)"
2021/11/2 00:20,900000,"105 days after 800K (1,173 days after debut)"
2021/7/20 16:10,800000,"104 days after 700K (1,068 days after debut)"
2021/4/7 00:30,700000,82 days after 600K (964 days after debut)
2021/1/15 13:20,600000,53 days after 500K (882 days after debut)
2020/11/23 14:20,500000,62 days after 400K (829 days after debut)
2020/9/22 16:50,400000,67 days after 300K (767 days after debut)
2020/7/17,300000,95 days after 200K (700 days after debut)
2020/4/13,200000,104 days after 100K (605 days after debut)
2019/12/31,100000,501 days after debut
2018/8/17,Debut,-
