Datetime,Subscribers,Days elapsed
2021/12/21 23:10,1200000,"106 days after 1.1M (1,205 days after debut)"
2021/9/6 16:00,1100000,"60 days after 1M (1,099 days after debut)"
2021/7/8 10:10,1000000,"46 days after 900K (1,039 days after debut)"
2021/5/23 14:00,900000,47 days after 800K (993 days after debut)
2021/4/6 01:00,800000,55 days after 700K (946 days after debut)
2021/2/10 04:00,700000,50 days after 600K (891 days after debut)
2020/12/22 12:50,600000,39 days after 500K (841 days after debut)
2020/11/13 00:00,500000,69 days after 400K (802 days after debut)
2020/9/5 23:50,400000,57 days after 300K (733 days after debut)
2020/7/10,300000,85 days after 200K (676 days after debut)
2020/4/16,200000,158 days after 100K (591 days after debut)
2019/11/10,100000,433 days after debut
2018/9/3,Debut,-
