Datetime,Subscribers,Days elapsed
2022/1/10 05:30,1200000,"146 days after 1.1M (1,319 days after debut)"
2021/8/17 13:10,1100000,"77 days after 1M (1,173 days after debut)"
2021/6/1 17:20,1000000,"64 days after 900K (1,096 days after debut)"
2021/3/29 02:40,900000,"63 days after 800K (1,032 days after debut)"
2021/1/25 05:50,800000,43 days after 700K (969 days after debut)
2020/12/13 13:50,700000,60 days after 600K (926 days after debut)
2020/10/14 03:20,600000,61 days after 500K (866 days after debut)
2020/8/14,500000,52 days after 400K (805 days after debut)
2020/6/23,400000,59 days after 300K (753 days after debut)
2020/4/25,300000,88 days after 200K (694 days after debut)
2020/1/28,200000,154 days after 100K (606 days after debut)
2019/8/27,100000,452 days after debut
2018/6/1,Debut,-
