Datetime,Subscribers,Days elapsed
2022-01-19 16:40,1300000,"114 days after 1.2M (1,019 days after debut)"
2021-09-27 23:10,1200000,88 days after 1.1M (905 days after debut)
2021-07-01 22:50,1100000,75 days after 1M (817 days after debut)
2021-04-17 22:20,1000000,53 days after 900K (742 days after debut)
2021-02-23 11:20,900000,41 days after 800K (689 days after debut)
2021-01-13 11:20,800000,39 days after 700K (648 days after debut)
2020-12-05 19:20,700000,39 days after 600K (609 days after debut)
2020-10-27 12:20,600000,47 days after 500K (570 days after debut)
2020-09-10 13:50,500000,45 days after 400K (523 days after debut)
2020-07-27,400000,62 days after 300K (478 days after debut)
2020-05-26,300000,80 days after 200K (416 days after debut)
2020-03-07,200000,106 days after 100K (336 days after debut)
2019-11-22,100000,230 days after debut
2019-04-06,Debut,-
