Datetime,Subscribers,Days elapsed
2022-05-02 6:35,1400000,142 days after 1.3M (596 days after debut)
2021-12-11 21:50,1300000,89 days after 1.2M (454 days after debut)
2021-09-13 22:10,1200000,60 days after 1.1M (365 days after debut)
2021-07-15 15:10,1100000,48 days after 1M (305 days after debut)
2021-05-28 6:00,1000000,43 days after 900K (257 days after debut)
2021-04-15 9:40,900000,59 days after 800K (214 days after debut)
2021-02-15 5:20,800000,35 days after 700K (155 days after debut)
2021-01-11 22:50,700000,31 days after 600K (120 days after debut)
2020-12-11 21:50,600000,27 days after 500K (89 days after debut)
2020-11-14 16:20,500000,23 days after 400K (62 days after debut)
2020-10-22 19:20,400000,21 days after 300K (39 days after debut)
2020-10-01 11:50,300000,15 days after 200K (18 days after debut)
2020-09-16 17:00,200000,3 days after 100K (3 days after debut)
2020-09-13 5:00,100000,0 days after debut
2020-09-13,Debut,-
