Datetime,Subscribers,Days elapsed
2022-01-01 18:50,900000,126 days after 800K (503 days after debut)
2021-08-28 8:50,800000,89 days after 700K (377 days after debut)
2021-05-31 2:30,700000,85 days after 600K (288 days after debut)
2021-03-07 1:10,600000,57 days after 500K (203 days after debut)
2021-01-09 22:50,500000,42 days after 400K (146 days after debut)
2020-11-28 20:30,400000,48 days after 300K (104 days after debut)
2020-10-11 22:40,300000,50 days after 200K (56 days after debut)
2020-08-22,200000,6 days after 100K (6 days after debut)
2020-08-16,100000,0 days before debut
2020-08-16,Debut,-
