Datetime,Subscribers,Days elapsed
2021-12-08 18:30,900000,"130 days after 800K (1,097 days after debut)"
2021-07-31 3:30,800000,83 days after 700K (967 days after debut)
2021-05-09 23:40,700000,78 days after 600K (884 days after debut)
2021-02-20 17:30,600000,62 days after 500K (806 days after debut)
2020-12-20 22:00,500000,69 days after 400K (744 days after debut)
2020-10-12 23:40,400000,93 days after 300K (675 days after debut)
2020-07-11,300000,78 days after 200K (582 days after debut)
2020-04-24,200000,136 days after 100K (504 days after debut)
2019-12-10,100000,368 days after debut
2018-12-07,Debut,-
