Datetime,Subscribers,Days elapsed
2022-03-05 7:30,1400000,"97 days after 1.3M (1,312 days after debut)"
2021-11-28 18:10,1300000,"92 days after 1.2M (1,215 days after debut)"
2021-08-28 21:20,1200000,"56 days after 1.1M (1,123 days after debut)"
2021-07-03 23:40,1100000,"64 days after 1M (1,067 days after debut)"
2021-04-30 21:40,1000000,"61 days after 900K (1,003 days after debut)"
2021-02-28 20:50,900000,44 days after 800K (942 days after debut)
2021-01-15 17:50,800000,38 days after 700K (898 days after debut)
2020-12-08 19:10,700000,31 days after 600K (860 days after debut)
2020-11-07 14:30,600000,37 days after 500K (829 days after debut)
2020-10-01 15:10,500000,59 days after 400K (792 days after debut)
2020-08-03,400000,57 days after 300K (733 days after debut)
2020-06-07,300000,83 days after 200K (676 days after debut)
2020-03-16,200000,101 days after 100K (593 days after debut)
2019-12-06,100000,492 days after debut
2018-08-01,Debut,-
