Datetime,Subscribers,Days elapsed
2022/1/6 20:30,1400000,116 days after 1.3M (882 days after debut)
2021/9/12 13:20,1300000,54 days after 1.2M (766 days after debut)
2021/7/20 17:20,1200000,54 days after 1.1M (712 days after debut)
2021/5/27 23:10,1100000,45 days after 1M (658 days after debut)
2021/4/12 20:30,1000000,37 days after 900K (613 days after debut)
2021/3/6 18:00,900000,44 days after 800K (576 days after debut)
2021/1/21 20:20,800000,47 days after 700K (532 days after debut)
2020/12/5 13:30,700000,41 days after 600K (485 days after debut)
2020/10/25 17:10,600000,48 days after 500K (444 days after debut)
2020/9/7 14:20,500000,45 days after 400K (396 days after debut)
2020/7/24,400000,68 days after 300K (351 days after debut)
2020/5/17,300000,97 days after 200K (283 days after debut)
2020/2/10,200000,85 days after 100K (186 days after debut)
2019/11/17,100000,101 days after debut
2019/8/8,Debut,-
