Datetime,Subscribers,Days elapsed
2022-03-04 10:40,1100000,139 days after 1M (567 days after debut)
2021-10-16 20:40,1000000,79 days after 900K (428 days after debut)
2021-07-29 18:40,900000,67 days after 800K (349 days after debut)
2021-05-23 10:30,800000,81 days after 700K (282 days after debut)
2021-03-03 23:10,700000,45 days after 600K (201 days after debut)
2021-01-17 0:10,600000,36 days after 500K (156 days after debut)
2020-12-12 13:20,500000,42 days after 400K (120 days after debut)
2020-10-31 18:50,400000,50 days after 300K (78 days after debut)
2020-09-11 11:30,300000,24 days after 200K (28 days after debut)
2020-08-18,200000,4 days after 100K (4 days after debut)
2020-08-14,100000,0 days before debut
2020-08-14,Debut,-
