Datetime,Subscribers,Days elapsed
2022-01-08 0:00,1300000,107 days after 1.2M (483 days after debut)
2021-09-23 18:00,1200000,71 days after 1.1M (376 days after debut)
2021-07-14 12:40,1100000,45 days after 1M (305 days after debut)
2021-05-30 17:50,1000000,49 days after 900K (260 days after debut)
2021-04-11 0:50,900000,56 days after 800K (211 days after debut)
2021-02-14 4:30,800000,35 days after 700K (155 days after debut)
2021-01-10 16:20,700000,29 days after 600K (120 days after debut)
2020-12-12 16:20,600000,19 days after 500K (91 days after debut)
2020-11-23 16:20,500000,25 days after 400K (72 days after debut)
2020-10-29 14:40,400000,18 days after 300K (47 days after debut)
2020-10-11 12:20,300000,21 days after 200K (29 days after debut)
2020-09-20 6:20,200000,7 days after 100K (8 days after debut)
2020-09-13 5:00,100000,1 days after debut
2020-09-12,Debut,-
