Datetime,Subscribers,Days elapsed
2021-12-06 17:40,900000,"148 days after 800K (1,551 days after debut)"
2021-07-11 0:10,800000,"115 days after 700K (1,403 days after debut)"
2021-03-18 23:10,700000,"72 days after 600K (1,288 days after debut)"
2021-01-05 22:10,600000,"71 days after 500K (1,216 days after debut)"
2020-10-26 19:20,500000,"89 days after 400K (1,145 days after debut)"
2020-07-29,400000,"121 days after 300K (1,056 days after debut)"
2020-03-30,300000,490 days after 200K (935 days after debut)
2018-11-26,200000,268 days after 100K (445 days after debut)
2018-03-03,100000,177 days after debut
2017-09-07,Debut,-
,,
,,
,,
