Datetime,Subscribers,Days elapsed
2022-04-03 22:50,1000000,95 days after 900K (821 days after debut)
2021-12-29 3:30,900000,114 days after 800K (726 days after debut)
2021-09-06 1:00,800000,68 days after 700K (612 days after debut)
2021-06-30 23:10,700000,61 days after 600K (544 days after debut)
2021-04-30 13:20,600000,81 days after 500K (483 days after debut)
2021-02-08 19:10,500000,51 days after 400K (402 days after debut)
2020-12-19 16:20,400000,60 days after 300K (351 days after debut)
2020-10-20 22:30,300000,82 days after 200K (291 days after debut)
2020-07-30,200000,104 days after 100K (209 days after debut)
2020-04-17,100000,105 days after debut
2020-01-03,Debut,-
