Datetime,Subscribers,Days elapsed
2022-04-02 0:30,1200000,141 days after 1.1M (825 days after debut)
2021-11-12 3:20,1100000,117 days after 1M (684 days after debut)
2021-07-18 0:00,1000000,54 days after 900K (567 days after debut)
2021-05-25 23:40,900000,74 days after 800K (513 days after debut)
2021-03-12 23:50,800000,54 days after 700K (439 days after debut)
2021-01-17 16:20,700000,42 days after 600K (385 days after debut)
2020-12-06 14:30,600000,52 days after 500K (343 days after debut)
2020-10-15 16:40,500000,54 days after 400K (291 days after debut)
2020-08-22,400000,114 days after 200K (237 days after debut)
2020-04-30,200000,78 days after 100K (123 days after debut)
2020-02-12,100000,45 days after debut
2019-12-29,Debut,-
