Datetime,Subscribers,Days elapsed
2022/3/21 22:30,1900000,109 days after 1.8M (978 days after debut)
2021/12/2 02:00,1800000,80 days after 1.7M (869 days after debut)
2021/9/13 21:00,1700000,59 days after 1.6M (789 days after debut)
2021/7/16 01:40,1600000,44 days after 1.5M (730 days after debut)
2021/6/2 21:30,1500000,41 days after 1.4M (686 days after debut)
2021/4/22 04:40,1400000,47 days after 1.3M (645 days after debut)
2021/3/6 18:50,1300000,40 days after 1.2M (598 days after debut)
2021/1/25 08:00,1200000,28 days after 1.1M (558 days after debut)
2020/12/28 21:10,1100000,24 days after 1M (530 days after debut)
2020/12/4 20:20,1000000,22 days after 900K (506 days after debut)
2020/11/12 20:00,900000,21 days after 800K (484 days after debut)
2020/10/22 21:10,800000,31 days after 700K (463 days after debut)
2020/9/21 00:30,700000,31 days after 600K (432 days after debut)
2020/8/21,600000,30 days after 500K (401 days after debut)
2020/7/22,500000,39 days after 400K (371 days after debut)
2020/6/13,400000,40 days after 300K (332 days after debut)
2020/5/4,300000,54 days after 200K (292 days after debut)
2020/3/11,200000,74 days after 100K (238 days after debut)
2019/12/28,100000,164 days after debut
2019/7/17,Debut,-
