Datetime,Subscribers,Days elapsed
2022-01-25 20:20,1600000,86 days after 1.5M (499 days after debut)
2021-10-31 21:30,1500000,71 days after 1.4M (413 days after debut)
2021-08-21 15:50,1400000,47 days after 1.3M (342 days after debut)
2021-07-05 10:00,1300000,43 days after 1.2M (295 days after debut)
2021-05-23 11:20,1200000,50 days after 1.1M (252 days after debut)
2021-04-03 15:20,1100000,51 days after 1M (202 days after debut)
2021-02-11 14:30,1000000,27 days after 900K (151 days after debut)
2021-01-15 8:40,900000,23 days after 800K (124 days after debut)
2020-12-23 3:50,800000,22 days after 700K (101 days after debut)
2020-12-01 18:50,700000,19 days after 600K (79 days after debut)
2020-11-12 11:20,600000,18 days after 500K (60 days after debut)
2020-10-25 22:30,500000,12 days after 400K (42 days after debut)
2020-10-13 12:10,400000,17 days after 300K (30 days after debut)
2020-09-26 12:00,300000,10 days after 200K (13 days after debut)
2020-09-16 13:40,200000,3 days after 100K (3 days after debut)
2020-09-13 10:10,100000,0 days after debut
2020-09-13,Debut,-
