Datetime,Subscribers,Days elapsed
2021-12-27 12:40,900000,117 days after 800K (502 days after debut)
2021-09-01 22:40,800000,81 days after 700K (385 days after debut)
2021-06-12 1:00,700000,72 days after 600K (304 days after debut)
2021-04-01 11:20,600000,66 days after 500K (232 days after debut)
2021-01-25 9:40,500000,48 days after 400K (166 days after debut)
2020-12-08 17:10,400000,66 days after 300K (118 days after debut)
2020-10-03 4:10,300000,45 days after 200K (52 days after debut)
2020-08-19,200000,7 days after 100K (7 days after debut)
2020-08-12,100000,0 days before debut
2020-08-12,Debut,-
